"id","user_created","date_created","user_updated","date_updated","usdot_num","complaint_category","complaint_year","complaint_count"
"0060f6a6-33bf-4aea-b22c-1c0b3a3c8f2a","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:08.562Z",,,"2356334","Loss and Damage",2023,2
"006d1734-9225-4a14-8589-10100fda70bf","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:32.860Z",,,"3413823","Loss and Damage",2022,1
"006f6401-655e-4f24-accd-27c1996f1e34","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:49.181Z",,,"3078913","Loss and Damage",2021,2
"007795a2-b30b-4bf9-8280-7fcc50bb2772","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:30.462Z",,,"3912791","Hostage",2023,1
"0078d05b-8ed6-485f-af96-3bd66b764e81","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:12.919Z",,,"947919","Loss and Damage",2022,1
"007c6fe2-eebc-42be-bd3a-73ab6365d8cb","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:51.255Z",,,"2189300","Estimates/Final Charges",2022,1
"0083aa82-3dd1-4461-82ed-d0a8ac3fa7b8","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:43.391Z",,,"3693468","Shipment Documents",2022,1
"0085a5bd-0257-4573-8fb1-f42f57591c80","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:03.779Z",,,"3805667","Loss and Damage",2023,1
"008852cc-6909-408b-9454-b240c1223acc","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:28.344Z",,,"3773693","Claim Settlement",2023,2
"008946e0-7b1f-4dd4-a4fa-256db3321621","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:12.617Z",,,"2463067","Pickup and Delivery",2021,2
"0089a769-3ac3-42a6-9b90-5fcb8f49b141","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:49.373Z",,,"3992698","Estimates/Final Charges",2023,7
"008b11fe-7543-4092-a9b4-ccf1482e798b","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:59.987Z",,,"3794840","Consumer Complaint(Deceptive Business Practices)",2022,7
"008e9bfd-4aeb-4918-9049-331778f0c168","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:09.518Z",,,"3028071","Weighing",2022,1
"00954dd1-a5da-4424-a75b-886c802c53ef","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:17.177Z",,,"3127438","Loss and Damage",2022,1
"00987760-608e-455a-9459-41e89ce95faa","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:32.813Z",,,"2642285","Estimates/Final Charges",2023,1
"0098f462-de7e-4187-ac46-6bba92d8f0f6","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:59.847Z",,,"3849048","Estimates/Final Charges",2022,18
"009a145a-c3e8-4e2a-a548-fce9639ae90f","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:56.896Z",,,"3642908","Consumer Complaint(Deceptive Business Practices)",2021,1
"009b73f3-e24d-4e5e-a7a6-72ce7304e268","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:11.511Z",,,"2792009","Shipment Documents",2022,1
"009c1932-6a5b-483f-b0cd-b673d486fffe","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:43.562Z",,,"1953080","Weighing",2022,1
"009e8d40-26c6-4b91-96e8-ce5162e0f363","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:30.986Z",,,"3691803","Hostage",2022,7
"009f20ab-1965-4b23-854e-0f8c3ac2e118","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:31.484Z",,,"3604420","Insurance",2021,1
"00a2a7dd-6bbf-46b5-9f16-5cdb2402ac09","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:45.689Z",,,"3304546","Consumer Complaint(Deceptive Business Practices)",2021,37
"00a447e7-9588-4a09-9a61-c735efce43a5","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:54.690Z",,,"3787935","Shipment Documents",2022,13
"00a4b86d-35b8-4b8f-a1a0-0a900f785cd6","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:56.935Z",,,"3642908","Claim Settlement",2022,2
"00a8c412-7473-4513-be3c-0890ec80a6db","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:24.160Z",,,"2553195","Estimates/Final Charges",2023,2
"00ab6d00-749f-4c5b-b293-1168290860e0","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:54.555Z",,,"3341650","Hostage",2021,26
"00b22467-f818-4bb6-9b5b-1838da579fed","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:09.041Z",,,"3490777","Hostage",2022,1
"00b5bbc9-d686-4fc0-bc90-2bc133f8da35","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:28.264Z",,,"976593","Weighing",2021,1
"00b5d785-e343-4f8d-b104-aa85870bb021","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:17.438Z",,,"1192529","Weighing",2021,9
"00b6f2e9-5ede-445c-8eec-624326e30cea","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:22.859Z",,,"3249854","Loss and Damage",2022,7
"00b882f2-2267-4d50-bfd8-be5087666b26","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:47.524Z",,,"3303978","Loss and Damage",2023,1
"00bc4a88-eba8-40d8-8e0f-aa673ec5364e","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:15.371Z",,,"2628513","Weighing",2023,1
"00c0cefa-5aa3-4d61-8302-6197f9ee51c0","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:06.518Z",,,"818918","Claim Settlement",2021,1
"00c3c418-90af-4a94-93c8-94fae0d291a9","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:01.005Z",,,"3615551","Consumer Complaint(Deceptive Business Practices)",2021,1
"00c4117f-b689-4f9e-9cd7-3692a6d06d02","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:21.684Z",,,"3171108","Shipment Documents",2022,1
"00d13cb8-69a0-43be-a564-5c85d8841e3a","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:18.783Z",,,"3537864","Claim Settlement",2021,2
"00d39bfc-93d9-48ec-936d-8bc01e30ee10","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:49.267Z",,,"3663565","Estimates/Final Charges",2022,4
"00da2b38-071e-4e52-8dee-ba8a067d88f6","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:57.381Z",,,"3749927","Weighing",2023,2
"00dad1f2-8eab-4398-8b21-44ffea12b323","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T17:59:50.624Z",,,"730844","Loss and Damage",2022,2
"00dc20c6-a6aa-4021-9a51-cb5c5c893a05","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:26.370Z",,,"2989210","Claim Settlement",2021,1
"00e1a2f7-a5cf-499a-a0a4-1ba1397c8234","88f52f6b-b3f1-4ef4-ad24-a605f568e3ef","2024-02-16T18:00:19.330Z",,,"2428388","Hostage",2022,1
