usdot_num,user_created,date_created,user_updated,date_updated,company_name,company_url,city,state,total_complaints_2021,total_complaints_2022,total_complaints_2023,location,company_type
3606050,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.297Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.383Z,DPM 0173 LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30271811&id2=32004180&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
3607726,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.580Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.675Z,SERENITY MOVING & BROKER,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30270904&id2=32002776&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",0
3617864,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.003Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.278Z,FRESHAFRIK LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30247295&id2=32008766&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3623356,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.313Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.633Z,TRAVLORD SERVICES LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30259315&id2=31987658&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3627951,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.510Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.601Z,MEGA DELIVERY SERVICES LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30256303&id2=31983065&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",1
3630372,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.307Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.625Z,THE VALET LIFE LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30255077&id2=31996754&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3630392,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.860Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.132Z,BIG TEX TRUCKING AND DELIVERY LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30255063&id2=31996750&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3632175,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:49.403Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:44.489Z,GREENLEAF VAN LINES INC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30171077&id2=31994457&f=search%3D5%26ads%3Da%26state%3DFL%26Submit%3DSearch,MIAMI,FL,0,0,0,"MIAMI, FL",0
3633831,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:14.977Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.252Z,EZEE MOVING & STORAGE LLC,https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30170248&id2=31993041&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",1
3635914,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:39:15.031Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:52:11.312Z,"GREENLEE EXPRESS DISPATCHING SERVICE, LLC",https://ai.fmcsa.dot.gov/hhg/SearchDetails.asp?ads=a&id=30168929&id2=31990972&f=search%3D5%26ads%3Da%26state%3DTX%26Submit%3DSearch,DALLAS,TX,0,0,0,"DALLAS, TX",3
