usdot_num,id,user_created,date_created,user_updated,date_updated,complaint_category,complaint_year,complaint_count
1151019,5d12921a-0b06-4704-b083-c4f5203340e5,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.625Z,,,Weighing,2022,1
3013492,5db2284c-4762-443a-9a59-0864afd49e88,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.425Z,,,Consumer Complaint(Deceptive Business Practices),2023,2
3174328,5e45b1a2-dc22-4faa-ba7c-059f4c6a9fb2,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.207Z,,,Consumer Complaint(Deceptive Business Practices),2023,1
2249592,5edca7c1-1dfa-4b42-b9c7-b3ee844d2f17,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.516Z,,,Consumer Complaint(Deceptive Business Practices),2021,1
2372043,5f8fe7c8-7465-4ac9-b693-64ce2244572d,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.097Z,,,Estimates/Final Charges,2021,7
3491781,6004a94d-e6ac-4c08-a719-fefedb5f87ca,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.211Z,,,Consumer Complaint(Deceptive Business Practices),2023,4
2258113,6024ea0f-4765-4f5c-9d37-446b88b74b46,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.951Z,,,Pickup and Delivery,2021,1
3006268,605d6fb7-ec8b-42bf-a7bb-8b5552e018de,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:13.940Z,,,Consumer Complaint(Deceptive Business Practices),2022,2
1413859,62ab3605-52fe-4def-81dd-bd4c21153c9d,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.119Z,,,Pickup and Delivery,2022,1
2240657,62b991b4-3e5a-40a7-9310-dae1bd1ca667,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:53.164Z,,,Owner Operator - Leasing Violations,2023,1
2543958,637cfaed-6e28-4b7d-aeec-fee026080419,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.238Z,,,Operating Authority,2021,1
3179208,6459870f-6ecf-4763-8d42-c3405804a542,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T17:59:52.934Z,,,Loss and Damage,2021,1
3180335,64f50b9f-c912-4a92-83fd-9ad0de6dc2c8,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T18:00:14.026Z,,,Estimates/Final Charges,2023,1
